,Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I,6+4/BF,Class
135,Junaid Khan (PAK),2011-2013,3,16,3.0,25,6.0,51.06,0.0,0.0,0.0425531914893617,NRS
136,A Nehra (INDIA),2001-2003,3,14,3.3571428571428568,24,9.4,59.49,0.0,0.0,0.06329113924050632,NRS
137,Abdur Razzak (BDESH),2004-2006,3,11,4.090909090909091,21,7.5,70.31,0.0,0.0,0.03125,NRS
138,Rubel Hossain (BDESH),2010-2013,4,18,2.3888888888888893,15,5.37,56.57,0.0,0.0,0.06578947368421052,NRS
139,E Otieno (KENYA),2008-2011,4,15,2.6666666666666665,11,4.44,33.61,0.0,0.0,0.025210084033613446,NRS
140,I Sharma (INDIA),2008-2011,4,10,3.4,13,4.25,33.33,0.0,0.0,0.029411764705882356,NRS
141,AJ Ireland (ZIM),2005-2007,3,13,2.3076923076923075,8,3.75,29.7,0.0,0.0,0.0198019801980198,NRS
142,TCB Fernando (SL),2001-2003,3,10,2.9,14,7.25,49.15,0.0,0.0,0.0,NRS
143,KM Jarvis (ZIM),2009-2012,4,10,2.9,13,4.83,37.66,0.0,0.0,0.025974025974025976,NRS
144,EC Rainsford (ZIM),2006-2008,3,11,2.272727272727273,9,6.25,33.33,0.0,0.0,0.0,NRS
145,CB Mpofu (ZIM),2006-2009,4,16,0.875,4,1.75,21.87,0.0,0.0,0.015625,NRS
146,Nazmul Hossain (BDESH),2008-2011,4,10,0.5,3,1.25,13.88,0.0,0.0,0.0,NRS
147,V Sehwag (INDIA),2001-2003,3,69,32.39130434782609,126,35.47,96.92,0.07246376811594203,0.15942028985507245,0.15351257588898526,RS
148,MJ Guptill (NZ),2009-2011,3,50,31.44,122,35.72,79.75,0.02,0.22,0.09335362760020294,RS
149,MS Dhoni (INDIA),2004-2006,3,43,34.116279069767444,183,48.9,100.96,0.04651162790697674,0.18604651162790695,0.12112869924294566,RS
150,IR Bell (ENG),2004-2007,4,40,34.4,88,37.18,69.31,0.0,0.25,0.06347607052896725,NRS
151,L Vincent (NZ),2001-2003,3,59,18.83050847457627,60,21.78,57.06,0.0,0.06779661016949153,0.04468412942989214,NRS
152,C Kieswetter (ENG),2010-2012,3,37,27.35135135135135,107,30.66,91.08,0.027027027027027032,0.13513513513513514,0.1188118811881188,RS
153,RL Powell (WI),2001-2003,3,41,20.317073170731707,88,26.03,100.24,0.0,0.07317073170731707,0.12274368231046932,RS
154,KD Karthik (INDIA),2006-2010,5,34,23.764705882352942,79,29.92,77.09,0.0,0.1176470588235294,0.08587786259541985,RS
155,KJ O'Brien (IRE),2006-2008,3,26,29.34615384615385,142,31.79,80.65,0.038461538461538464,0.1153846153846154,0.08562367864693446,RS
156,AD Russell (WI),2011-2013,3,27,24.444444444444446,92,30.0,119.34,0.0,0.1111111111111111,0.16455696202531644,RS
157,TM Odoyo (KENYA),2001-2003,3,28,21.785714285714285,53,23.46,65.66,0.0,0.07142857142857142,0.077502691065662,NRS
158,Mohammad Hafeez (PAK),2003-2005,3,30,18.1,69,18.1,51.56,0.0,0.1,0.06077872744539412,NRS
159,DA Marillier (ZIM),2001-2003,3,30,17.466666666666665,100,20.15,77.05,0.03333333333333333,0.1,0.07794117647058824,NRS
160,LJ Wright (ENG),2007-2010,4,22,21.227272727272727,52,23.35,102.41,0.0,0.09090909090909093,0.13157894736842105,NRS
161,JDP Oram (NZ),2001-2003,3,32,13.875,59,15.85,71.38,0.0,0.03125,0.08038585209003216,NRS
